date,interest
2019-01-01,54
2019-02-01,0
2019-03-01,0
2019-04-01,0
2019-05-01,0
2019-06-01,0
2019-07-01,0
2019-08-01,0
2019-09-01,52
2019-10-01,0
2019-11-01,0
2019-12-01,0
2020-01-01,0
2020-02-01,0
2020-03-01,76
2020-04-01,0
2020-05-01,0
2020-06-01,0
2020-07-01,0
2020-08-01,55
2020-09-01,85
2020-10-01,74
2020-11-01,0
2020-12-01,0
2021-01-01,0
2021-02-01,0
2021-03-01,0
2021-04-01,54
2021-05-01,0
2021-06-01,0
2021-07-01,0
2021-08-01,0
2021-09-01,0
2021-10-01,0
2021-11-01,0
2021-12-01,0
2022-01-01,52
2022-02-01,47
2022-03-01,38
2022-04-01,60
2022-05-01,49
2022-06-01,0
2022-07-01,0
2022-08-01,62
2022-09-01,50
2022-10-01,58
2022-11-01,77
2022-12-01,0
2023-01-01,81
2023-02-01,69
2023-03-01,41
2023-04-01,82
2023-05-01,52
2023-06-01,0
2023-07-01,59
2023-08-01,0
2023-09-01,54
2023-10-01,46
2023-11-01,68
2023-12-01,0
2024-01-01,0
2024-02-01,62
2024-03-01,0
2024-04-01,0
2024-05-01,0
2024-06-01,60
2024-07-01,0
2024-08-01,0
2024-09-01,0
2024-10-01,0
2024-11-01,0
2024-12-01,0
2025-01-01,61
2025-02-01,0
2025-03-01,0
2025-04-01,71
2025-05-01,0
2025-06-01,100
2025-07-01,0
2025-08-01,0
2025-09-01,56
2025-10-01,0
2025-11-01,52
2025-12-01,60
2026-01-01,84
2026-02-01,54
2026-03-01,72
2026-04-01,26
