date,interest
2019-01-01,12
2019-02-01,12
2019-03-01,14
2019-04-01,9
2019-05-01,10
2019-06-01,13
2019-07-01,15
2019-08-01,24
2019-09-01,16
2019-10-01,16
2019-11-01,14
2019-12-01,18
2020-01-01,14
2020-02-01,9
2020-03-01,5
2020-04-01,0
2020-05-01,6
2020-06-01,6
2020-07-01,10
2020-08-01,12
2020-09-01,15
2020-10-01,11
2020-11-01,11
2020-12-01,11
2021-01-01,14
2021-02-01,17
2021-03-01,17
2021-04-01,21
2021-05-01,19
2021-06-01,19
2021-07-01,21
2021-08-01,26
2021-09-01,21
2021-10-01,27
2021-11-01,20
2021-12-01,17
2022-01-01,20
2022-02-01,24
2022-03-01,32
2022-04-01,26
2022-05-01,35
2022-06-01,40
2022-07-01,36
2022-08-01,41
2022-09-01,45
2022-10-01,40
2022-11-01,50
2022-12-01,38
2023-01-01,58
2023-02-01,63
2023-03-01,47
2023-04-01,35
2023-05-01,43
2023-06-01,53
2023-07-01,49
2023-08-01,52
2023-09-01,68
2023-10-01,79
2023-11-01,91
2023-12-01,41
2024-01-01,48
2024-02-01,53
2024-03-01,39
2024-04-01,39
2024-05-01,43
2024-06-01,44
2024-07-01,49
2024-08-01,62
2024-09-01,74
2024-10-01,81
2024-11-01,53
2024-12-01,31
2025-01-01,48
2025-02-01,41
2025-03-01,36
2025-04-01,35
2025-05-01,46
2025-06-01,42
2025-07-01,51
2025-08-01,98
2025-09-01,100
2025-10-01,61
2025-11-01,85
2025-12-01,70
2026-01-01,74
2026-02-01,90
2026-03-01,73
2026-04-01,66
