date,interest
2019-01-01,18
2019-02-01,19
2019-03-01,20
2019-04-01,20
2019-05-01,20
2019-06-01,21
2019-07-01,18
2019-08-01,18
2019-09-01,23
2019-10-01,24
2019-11-01,21
2019-12-01,27
2020-01-01,19
2020-02-01,21
2020-03-01,13
2020-04-01,14
2020-05-01,14
2020-06-01,14
2020-07-01,16
2020-08-01,17
2020-09-01,16
2020-10-01,21
2020-11-01,21
2020-12-01,21
2021-01-01,17
2021-02-01,19
2021-03-01,18
2021-04-01,16
2021-05-01,18
2021-06-01,18
2021-07-01,18
2021-08-01,20
2021-09-01,22
2021-10-01,28
2021-11-01,24
2021-12-01,27
2022-01-01,22
2022-02-01,23
2022-03-01,21
2022-04-01,21
2022-05-01,22
2022-06-01,19
2022-07-01,20
2022-08-01,22
2022-09-01,21
2022-10-01,23
2022-11-01,24
2022-12-01,24
2023-01-01,19
2023-02-01,23
2023-03-01,20
2023-04-01,20
2023-05-01,21
2023-06-01,20
2023-07-01,21
2023-08-01,18
2023-09-01,22
2023-10-01,25
2023-11-01,31
2023-12-01,31
2024-01-01,26
2024-02-01,29
2024-03-01,28
2024-04-01,25
2024-05-01,25
2024-06-01,27
2024-07-01,29
2024-08-01,34
2024-09-01,36
2024-10-01,46
2024-11-01,52
2024-12-01,63
2025-01-01,41
2025-02-01,38
2025-03-01,38
2025-04-01,33
2025-05-01,31
2025-06-01,31
2025-07-01,35
2025-08-01,47
2025-09-01,49
2025-10-01,50
2025-11-01,72
2025-12-01,68
2026-01-01,49
2026-02-01,100
2026-03-01,53
2026-04-01,59
