date,interest
2019-01-01,11
2019-02-01,20
2019-03-01,0
2019-04-01,0
2019-05-01,0
2019-06-01,0
2019-07-01,0
2019-08-01,9
2019-09-01,0
2019-10-01,0
2019-11-01,0
2019-12-01,9
2020-01-01,11
2020-02-01,0
2020-03-01,0
2020-04-01,8
2020-05-01,0
2020-06-01,0
2020-07-01,9
2020-08-01,0
2020-09-01,8
2020-10-01,0
2020-11-01,0
2020-12-01,11
2021-01-01,0
2021-02-01,0
2021-03-01,0
2021-04-01,0
2021-05-01,0
2021-06-01,0
2021-07-01,0
2021-08-01,10
2021-09-01,0
2021-10-01,13
2021-11-01,0
2021-12-01,10
2022-01-01,10
2022-02-01,0
2022-03-01,8
2022-04-01,9
2022-05-01,7
2022-06-01,8
2022-07-01,14
2022-08-01,12
2022-09-01,16
2022-10-01,11
2022-11-01,27
2022-12-01,100
2023-01-01,49
2023-02-01,27
2023-03-01,25
2023-04-01,20
2023-05-01,17
2023-06-01,18
2023-07-01,17
2023-08-01,16
2023-09-01,19
2023-10-01,38
2023-11-01,35
2023-12-01,31
2024-01-01,30
2024-02-01,27
2024-03-01,26
2024-04-01,18
2024-05-01,21
2024-06-01,21
2024-07-01,16
2024-08-01,25
2024-09-01,38
2024-10-01,33
2024-11-01,44
2024-12-01,39
2025-01-01,34
2025-02-01,47
2025-03-01,29
2025-04-01,38
2025-05-01,32
2025-06-01,24
2025-07-01,33
2025-08-01,45
2025-09-01,44
2025-10-01,36
2025-11-01,50
2025-12-01,69
2026-01-01,62
2026-02-01,62
2026-03-01,56
2026-04-01,62
