date,interest
2019-01-01,0
2019-02-01,0
2019-03-01,0
2019-04-01,0
2019-05-01,0
2019-06-01,0
2019-07-01,0
2019-08-01,0
2019-09-01,0
2019-10-01,0
2019-11-01,0
2019-12-01,0
2020-01-01,1
2020-02-01,2
2020-03-01,3
2020-04-01,3
2020-05-01,5
2020-06-01,8
2020-07-01,11
2020-08-01,13
2020-09-01,12
2020-10-01,9
2020-11-01,14
2020-12-01,18
2021-01-01,40
2021-02-01,51
2021-03-01,61
2021-04-01,60
2021-05-01,60
2021-06-01,64
2021-07-01,83
2021-08-01,94
2021-09-01,89
2021-10-01,82
2021-11-01,96
2021-12-01,98
2022-01-01,100
2022-02-01,87
2022-03-01,80
2022-04-01,82
2022-05-01,76
2022-06-01,70
2022-07-01,67
2022-08-01,62
2022-09-01,55
2022-10-01,50
2022-11-01,49
2022-12-01,43
2023-01-01,55
2023-02-01,57
2023-03-01,54
2023-04-01,60
2023-05-01,53
2023-06-01,52
2023-07-01,49
2023-08-01,49
2023-09-01,41
2023-10-01,38
2023-11-01,35
2023-12-01,36
2024-01-01,38
2024-02-01,38
2024-03-01,42
2024-04-01,40
2024-05-01,37
2024-06-01,34
2024-07-01,33
2024-08-01,37
2024-09-01,32
2024-10-01,27
2024-11-01,26
2024-12-01,30
2025-01-01,32
2025-02-01,29
2025-03-01,32
2025-04-01,30
2025-05-01,30
2025-06-01,26
2025-07-01,30
2025-08-01,32
2025-09-01,28
2025-10-01,25
2025-11-01,28
2025-12-01,24
2026-01-01,29
2026-02-01,94
2026-03-01,39
2026-04-01,85
