date,interest
2019-01-01,65
2019-02-01,51
2019-03-01,40
2019-04-01,0
2019-05-01,0
2019-06-01,0
2019-07-01,28
2019-08-01,0
2019-09-01,0
2019-10-01,16
2019-11-01,0
2019-12-01,0
2020-01-01,20
2020-02-01,0
2020-03-01,0
2020-04-01,22
2020-05-01,28
2020-06-01,27
2020-07-01,21
2020-08-01,29
2020-09-01,0
2020-10-01,23
2020-11-01,0
2020-12-01,22
2021-01-01,16
2021-02-01,0
2021-03-01,22
2021-04-01,21
2021-05-01,0
2021-06-01,19
2021-07-01,19
2021-08-01,0
2021-09-01,0
2021-10-01,0
2021-11-01,0
2021-12-01,32
2022-01-01,26
2022-02-01,18
2022-03-01,17
2022-04-01,22
2022-05-01,0
2022-06-01,16
2022-07-01,18
2022-08-01,0
2022-09-01,0
2022-10-01,21
2022-11-01,14
2022-12-01,22
2023-01-01,19
2023-02-01,24
2023-03-01,17
2023-04-01,0
2023-05-01,23
2023-06-01,0
2023-07-01,13
2023-08-01,23
2023-09-01,0
2023-10-01,0
2023-11-01,21
2023-12-01,18
2024-01-01,0
2024-02-01,0
2024-03-01,0
2024-04-01,0
2024-05-01,0
2024-06-01,0
2024-07-01,16
2024-08-01,0
2024-09-01,0
2024-10-01,24
2024-11-01,0
2024-12-01,27
2025-01-01,17
2025-02-01,0
2025-03-01,0
2025-04-01,16
2025-05-01,0
2025-06-01,0
2025-07-01,39
2025-08-01,89
2025-09-01,70
2025-10-01,67
2025-11-01,57
2025-12-01,71
2026-01-01,55
2026-02-01,100
2026-03-01,74
2026-04-01,77
