date,interest
2019-01-01,0
2019-02-01,0
2019-03-01,0
2019-04-01,0
2019-05-01,0
2019-06-01,0
2019-07-01,0
2019-08-01,0
2019-09-01,0
2019-10-01,0
2019-11-01,0
2019-12-01,0
2020-01-01,0
2020-02-01,0
2020-03-01,0
2020-04-01,0
2020-05-01,0
2020-06-01,0
2020-07-01,0
2020-08-01,0
2020-09-01,0
2020-10-01,0
2020-11-01,0
2020-12-01,0
2021-01-01,0
2021-02-01,0
2021-03-01,0
2021-04-01,0
2021-05-01,0
2021-06-01,1
2021-07-01,0
2021-08-01,2
2021-09-01,1
2021-10-01,0
2021-11-01,2
2021-12-01,1
2022-01-01,2
2022-02-01,1
2022-03-01,2
2022-04-01,2
2022-05-01,6
2022-06-01,16
2022-07-01,24
2022-08-01,64
2022-09-01,43
2022-10-01,30
2022-11-01,27
2022-12-01,44
2023-01-01,61
2023-02-01,58
2023-03-01,50
2023-04-01,54
2023-05-01,52
2023-06-01,57
2023-07-01,52
2023-08-01,55
2023-09-01,66
2023-10-01,52
2023-11-01,63
2023-12-01,100
2024-01-01,74
2024-02-01,57
2024-03-01,54
2024-04-01,50
2024-05-01,41
2024-06-01,39
2024-07-01,49
2024-08-01,41
2024-09-01,37
2024-10-01,36
2024-11-01,54
2024-12-01,53
2025-01-01,50
2025-02-01,87
2025-03-01,52
2025-04-01,41
2025-05-01,44
2025-06-01,46
2025-07-01,50
2025-08-01,49
2025-09-01,38
2025-10-01,38
2025-11-01,33
2025-12-01,34
2026-01-01,37
2026-02-01,31
2026-03-01,37
2026-04-01,41
