date,interest
2019-01-01,53
2019-02-01,68
2019-03-01,69
2019-04-01,65
2019-05-01,62
2019-06-01,65
2019-07-01,71
2019-08-01,78
2019-09-01,71
2019-10-01,63
2019-11-01,77
2019-12-01,67
2020-01-01,65
2020-02-01,67
2020-03-01,54
2020-04-01,61
2020-05-01,66
2020-06-01,67
2020-07-01,75
2020-08-01,70
2020-09-01,74
2020-10-01,76
2020-11-01,84
2020-12-01,83
2021-01-01,78
2021-02-01,75
2021-03-01,76
2021-04-01,94
2021-05-01,97
2021-06-01,100
2021-07-01,99
2021-08-01,88
2021-09-01,98
2021-10-01,92
2021-11-01,98
2021-12-01,91
2022-01-01,73
2022-02-01,65
2022-03-01,74
2022-04-01,83
2022-05-01,78
2022-06-01,79
2022-07-01,89
2022-08-01,78
2022-09-01,82
2022-10-01,86
2022-11-01,81
2022-12-01,79
2023-01-01,71
2023-02-01,66
2023-03-01,62
2023-04-01,65
2023-05-01,65
2023-06-01,66
2023-07-01,73
2023-08-01,69
2023-09-01,72
2023-10-01,75
2023-11-01,73
2023-12-01,68
2024-01-01,58
2024-02-01,54
2024-03-01,60
2024-04-01,60
2024-05-01,61
2024-06-01,58
2024-07-01,59
2024-08-01,54
2024-09-01,62
2024-10-01,66
2024-11-01,62
2024-12-01,61
2025-01-01,47
2025-02-01,55
2025-03-01,58
2025-04-01,53
2025-05-01,50
2025-06-01,52
2025-07-01,60
2025-08-01,65
2025-09-01,58
2025-10-01,65
2025-11-01,74
2025-12-01,88
2026-01-01,74
2026-02-01,89
2026-03-01,64
2026-04-01,61
