date,momentum,direction,recent_avg,historical_avg
2025-01-01,1.0,rising,54.875,3.7954545454545454
2025-02-01,1.0,rising,50.25,4.9772727272727275
2025-03-01,1.0,rising,41.125,6.886363636363637
2025-04-01,1.0,rising,30.0,9.159090909090908
2025-05-01,1.0,rising,22.375,10.840909090909092
2025-06-01,0.3956766916965981,rising,16.875,12.090909090909092
2025-07-01,0.15686274508573625,rising,14.75,12.75
2025-08-01,-0.03492333900930734,stable,12.875,13.340909090909092
2025-09-01,-0.13778877886788335,falling,11.875,13.772727272727273
2025-10-01,-0.21175523347936032,falling,11.125,14.113636363636363
2025-11-01,-0.24287974681853366,falling,10.875,14.363636363636363
2025-12-01,-0.2814930015359476,falling,10.5,14.613636363636363
