name,color,material,price,image,brand,url
Help,neutral,cotton,$ 79.90,,Zara,https://www.zara.com#main
Zara denim 2,neutral,denim,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=denim&section=MAN
Zara denim 3,neutral,denim,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=denim&section=MAN
Zara denim 4,neutral,denim,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=denim&section=MAN
Zara denim 5,neutral,denim,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=denim&section=MAN
Zara denim 6,neutral,denim,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=denim&section=MAN
Zara denim 7,neutral,denim,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=denim&section=MAN
Zara denim 8,neutral,denim,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=denim&section=MAN
Zara denim 9,neutral,denim,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=denim&section=MAN
Zara denim 10,neutral,denim,$ 79.90,https://static.zara.net/stdstatic/7.11.0/images/transparent-background.png,Zara,https://www.zara.com/us/en/ripped-relaxed-fit-jeans-p06688304.html
